,hour,week,all,cncf,graduated,incubating,sandbox,kubernetes,tikv
36,12,2,8732.833333333334,272.051912568306,175.92349726775956,81.73497267759562,93.08196721311475,88.86612021857924,7.437158469945355
37,13,2,8394.939890710382,249.63661202185793,162.6775956284153,72.23770491803279,84.66939890710383,81.80327868852459,8.259562841530055
38,14,2,8788.464480874318,260.344262295082,167.92896174863387,73.96994535519126,86.8360655737705,82.4672131147541,9.907103825136613
39,15,2,9339.483606557376,268.6639344262295,175.84426229508196,77.81420765027322,88.86612021857924,87.48907103825137,8.1775956284153
40,16,2,9743.024590163934,269.70765027322403,175.4262295081967,79.46994535519126,89.32786885245902,87.89344262295081,7.956284153005464
41,17,2,9739.524590163934,252.66120218579235,162.5737704918033,76.84426229508196,85.29781420765028,80.30874316939891,6.855191256830601
42,18,2,3919.846994535519,165.12295081967213,105.66120218579235,55.47540983606557,61.26229508196721,51.64754098360656,4.907103825136612
43,19,2,2895.1666666666665,115.1311475409836,72.88251366120218,41.51639344262295,46.076502732240435,33.63387978142077,4.863387978142076
44,20,2,2343.1775956284155,90.88524590163935,59.18306010928962,30.5327868852459,37.256830601092894,26.53551912568306,4.890710382513661
45,21,2,2112.3688524590166,84.14480874316939,56.959016393442624,26.950819672131146,33.71857923497268,26.24590163934426,3.800546448087432
46,22,2,1947.2185792349726,76.88251366120218,53.08743169398907,24.55191256830601,30.614754098360656,25.398907103825138,3.371584699453552
47,23,2,1665.0655737704917,63.068306010928964,42.35792349726776,20.489071038251367,25.950819672131146,19.937158469945356,2.5846994535519126
48,0,3,1344.8306010928961,50.53005464480874,35.37431693989071,18.759562841530055,23.278688524590162,13.53551912568306,2.2650273224043715
49,1,3,1093.1666666666667,38.505464480874316,27.333333333333332,16.0327868852459,20.461748633879782,8.871584699453551,1.355191256830601
50,2,3,930.5710382513661,32.09289617486339,23.5327868852459,14.691256830601093,18.53551912568306,5.797814207650274,1.5245901639344261
51,3,3,908.5491803278688,29.527322404371585,22.3224043715847,13.959016393442623,16.879781420765028,5.636612021857924,0.8360655737704918
52,4,3,993.6010928961749,29.26502732240437,22.44808743169399,13.002732240437158,17.275956284153004,5.387978142076503,0.9426229508196722
53,5,3,1098.4699453551912,30.538251366120218,23.379781420765028,13.997267759562842,16.721311475409838,6.131147540983607,0.953551912568306
54,6,3,1275.8387978142077,35.46448087431694,26.161202185792348,16.6448087431694,18.959016393442624,6.967213114754099,1.3797814207650274
55,7,3,1616.1338797814208,47.72950819672131,34.169398907103826,19.489071038251367,22.90983606557377,10.959016393442623,1.278688524590164
56,8,3,2249.775956284153,72.9207650273224,49.87978142076503,25.1448087431694,31.16393442622951,19.360655737704917,2.251366120218579
57,9,3,3574.256830601093,137.69945355191257,89.70218579234972,44.78415300546448,50.994535519125684,43.540983606557376,3.459016393442623
58,10,3,8834.155737704918,279.3551912568306,179.6693989071038,87.1584699453552,94.82513661202186,93.2568306010929,7.2076502732240435
59,11,3,9150.91256830601,296.25409836065575,192.19398907103826,89.16120218579235,99.18306010928961,96.5327868852459,8.579234972677595
60,12,3,8687.877049180328,271.5382513661202,177.51639344262296,81.82513661202186,90.22677595628416,89.94808743169399,7.398907103825136
61,13,3,8346.355191256831,248.42896174863387,159.56284153005464,73.63387978142076,84.40710382513662,77.33879781420765,8.114754098360656
62,14,3,8661.352459016394,259.1338797814208,167.69672131147541,76.28415300546447,86.14480874316939,78.57103825136612,9.081967213114755
63,15,3,9197.418032786885,267.5382513661202,174.62568306010928,79.09289617486338,87.44262295081967,84.35519125683061,8.508196721311476
64,16,3,9663.112021857924,262.40983606557376,168.1639344262295,80.26502732240438,88.62841530054645,83.31420765027322,8.431693989071038
65,17,3,9703.314207650274,254.39344262295083,162.72131147540983,77.71311475409836,87.19398907103825,81.45901639344262,6.7103825136612025
66,18,3,3870.710382513661,157.13934426229508,101.49453551912568,52.98087431693989,55.18852459016394,49.743169398907106,4.587431693989071
67,19,3,2879.0819672131147,119.8360655737705,76.37158469945355,39.68306010928962,45.5,35.87158469945355,4.221311475409836
68,20,3,2308.6448087431695,90.46994535519126,57.59836065573771,30.73224043715847,36.31147540983606,25.85792349726776,4.117486338797814
69,21,3,2067.2704918032787,81.05191256830601,52.80874316939891,26.3224043715847,32.82786885245902,24.453551912568305,3.9562841530054644
70,22,3,1911.292349726776,74.75956284153006,49.31967213114754,23.62295081967213,30.057377049180328,23.937158469945356,3.0327868852459017
71,23,3,1644.3469945355191,61.18032786885246,40.22677595628415,19.972677595628415,24.953551912568305,18.80327868852459,2.3551912568306013
72,0,4,1335.9699453551912,50.52732240437158,35.53551912568306,18.2103825136612,22.920765027322403,13.69672131147541,2.278688524590164
73,1,4,1100.103825136612,39.64207650273224,27.956284153005466,16.079234972677597,20.69672131147541,9.37431693989071,1.6092896174863387
74,2,4,942.9426229508197,32.4344262295082,23.60655737704918,15.01639344262295,18.461748633879782,6.587431693989071,0.9644808743169399
75,3,4,917.1857923497267,28.371584699453553,22.221311475409838,13.434426229508198,16.939890710382514,5.672131147540983,0.7896174863387978
76,4,4,999.8060109289618,28.112021857923498,21.770491803278688,13.704918032786885,17.07650273224044,5.2349726775956285,0.7814207650273224
77,5,4,1107.0,30.598360655737704,23.729508196721312,14.330601092896174,17.1775956284153,5.636612021857924,1.0819672131147542
78,6,4,1265.7021857923498,33.685792349726775,24.69672131147541,15.26775956284153,18.398907103825138,6.551912568306011,1.0874316939890711
79,7,4,1591.9016393442623,46.87431693989071,32.65846994535519,18.721311475409838,22.718579234972676,10.46174863387978,1.2622950819672132
80,8,4,2232.2131147540986,69.67486338797814,46.60655737704918,25.650273224043715,29.382513661202186,18.42896174863388,1.8907103825136613
81,9,4,3535.601092896175,134.71584699453553,87.09562841530055,46.297814207650276,49.49180327868852,40.02459016393443,4.2650273224043715
82,10,4,8735.612021857924,272.10928961748635,176.7568306010929,80.93169398907104,91.27049180327869,90.45081967213115,8.245901639344263
83,11,4,9196.158469945356,288.7431693989071,187.88524590163934,84.33333333333333,96.94535519125684,92.83333333333333,8.5
84,12,4,8678.43169398907,270.42896174863387,171.5655737704918,84.64754098360656,93.40710382513662,84.58196721311475,7.385245901639344
85,13,4,8274.456284153006,243.58743169398906,155.26775956284152,72.96448087431693,84.81967213114754,75.0,7.754098360655738
86,14,4,8638.644808743169,250.60382513661202,162.21857923497268,72.08196721311475,84.04918032786885,79.85792349726776,8.46448087431694
87,15,4,9154.606557377048,260.4972677595628,170.33879781420765,73.93169398907104,88.30601092896175,83.10655737704919,8.412568306010929
