,hour,week,all,kubernetes,tikv
134,14,6,2812.273224043716,2.019125683060109,0.15027322404371585
135,15,6,2947.243169398907,1.6939890710382515,0.16939890710382513
136,16,6,2903.7950819672133,1.6584699453551912,0.22404371584699453
137,17,6,2883.3224043715845,1.715846994535519,0.08469945355191257
138,18,6,2896.2049180327867,1.2595628415300546,0.040983606557377046
139,19,6,2772.3497267759562,1.1612021857923498,0.03551912568306011
140,20,6,2664.3852459016393,0.8360655737704918,0.01912568306010929
141,21,6,2457.6967213114754,1.0737704918032787,0.04371584699453552
142,22,6,2204.4836065573772,0.7923497267759563,0.05191256830601093
143,23,6,1910.7732240437158,0.8770491803278688,0.08469945355191257
144,0,7,1752.5027322404371,0.819672131147541,0.01639344262295082
145,1,7,1665.0081967213114,0.8224043715846995,0.03278688524590164
146,2,7,1664.6748633879781,1.1639344262295082,0.09836065573770492
147,3,7,1607.0109289617487,1.2513661202185793,0.18579234972677597
148,4,7,1529.8333333333333,0.6420765027322405,0.23497267759562843
149,5,7,1582.9153005464482,0.6092896174863388,0.16939890710382513
150,6,7,1716.275956284153,0.4808743169398907,0.30601092896174864
151,7,7,1898.6311475409836,0.6502732240437158,0.30327868852459017
152,8,7,2028.9016393442623,0.9043715846994536,0.24043715846994534
153,9,7,2174.4863387978144,0.860655737704918,0.319672131147541
154,10,7,2313.6065573770493,0.8934426229508197,0.19398907103825136
155,11,7,2390.2704918032787,1.0491803278688525,0.1448087431693989
156,12,7,2547.281420765027,0.9808743169398907,0.16666666666666666
157,13,7,2650.6639344262294,1.2650273224043715,0.1557377049180328
158,14,7,2905.1338797814205,1.5382513661202186,0.23224043715846995
159,15,7,2968.636612021858,1.7295081967213115,0.22131147540983606
160,16,7,2938.24043715847,1.1202185792349726,0.18579234972677597
161,17,7,2950.841530054645,1.2814207650273224,0.08469945355191257
162,18,7,2891.185792349727,1.2650273224043715,0.17759562841530055
163,19,7,2852.065573770492,1.2622950819672132,0.06284153005464481
164,20,7,2776.308743169399,1.210382513661202,0.15300546448087432
165,21,7,2620.77868852459,1.3032786885245902,0.14754098360655737
166,22,7,2311.748633879781,0.8879781420765027,0.15300546448087432
167,23,7,2036.5027322404371,0.8907103825136612,0.23497267759562843
